"K","theta","p","psi","nSamples","Index"
4,0.76,0.3,1,50,350
8,0.76,0.3,1,50,351
16,0.76,0.3,1,50,352
2,0.06,0.35,1,50,353
4,0.06,0.35,1,50,354
8,0.06,0.35,1,50,355
16,0.06,0.35,1,50,356
2,0.24,0.35,1,50,357
4,0.24,0.35,1,50,358
8,0.24,0.35,1,50,359
16,0.24,0.35,1,50,360
2,0.42,0.35,1,50,361
4,0.42,0.35,1,50,362
8,0.42,0.35,1,50,363
16,0.42,0.35,1,50,364
2,0.76,0.35,1,50,365
4,0.76,0.35,1,50,366
8,0.76,0.35,1,50,367
16,0.76,0.35,1,50,368
2,0.06,0.4,1,50,369
4,0.06,0.4,1,50,370
8,0.06,0.4,1,50,371
16,0.06,0.4,1,50,372
2,0.24,0.4,1,50,373
4,0.24,0.4,1,50,374
8,0.24,0.4,1,50,375
16,0.24,0.4,1,50,376
2,0.42,0.4,1,50,377
4,0.42,0.4,1,50,378
8,0.42,0.4,1,50,379
16,0.42,0.4,1,50,380
2,0.76,0.4,1,50,381
4,0.76,0.4,1,50,382
8,0.76,0.4,1,50,383
16,0.76,0.4,1,50,384
2,0.06,0.75,1,50,385
4,0.06,0.75,1,50,386
8,0.06,0.75,1,50,387
16,0.06,0.75,1,50,388
2,0.24,0.75,1,50,389
4,0.24,0.75,1,50,390
8,0.24,0.75,1,50,391
16,0.24,0.75,1,50,392
2,0.42,0.75,1,50,393
4,0.42,0.75,1,50,394
8,0.42,0.75,1,50,395
16,0.42,0.75,1,50,396
2,0.76,0.75,1,50,397
4,0.76,0.75,1,50,398
8,0.76,0.75,1,50,399
16,0.76,0.75,1,50,400
2,0.06,0.15,1,75,401
4,0.06,0.15,1,75,402
8,0.06,0.15,1,75,403
16,0.06,0.15,1,75,404
2,0.24,0.15,1,75,405
4,0.24,0.15,1,75,406
8,0.24,0.15,1,75,407
16,0.24,0.15,1,75,408
2,0.42,0.15,1,75,409
4,0.42,0.15,1,75,410
8,0.42,0.15,1,75,411
16,0.42,0.15,1,75,412
2,0.76,0.15,1,75,413
4,0.76,0.15,1,75,414
8,0.76,0.15,1,75,415
16,0.76,0.15,1,75,416
2,0.06,0.3,1,75,417
4,0.06,0.3,1,75,418
8,0.06,0.3,1,75,419
16,0.06,0.3,1,75,420
2,0.24,0.3,1,75,421
4,0.24,0.3,1,75,422
8,0.24,0.3,1,75,423
16,0.24,0.3,1,75,424
2,0.42,0.3,1,75,425
4,0.42,0.3,1,75,426
8,0.42,0.3,1,75,427
16,0.42,0.3,1,75,428
2,0.76,0.3,1,75,429
4,0.76,0.3,1,75,430
8,0.76,0.3,1,75,431
16,0.76,0.3,1,75,432
2,0.06,0.35,1,75,433
4,0.06,0.35,1,75,434
8,0.06,0.35,1,75,435
16,0.06,0.35,1,75,436
2,0.24,0.35,1,75,437
4,0.24,0.35,1,75,438
8,0.24,0.35,1,75,439
16,0.24,0.35,1,75,440
2,0.42,0.35,1,75,441
4,0.42,0.35,1,75,442
8,0.42,0.35,1,75,443
16,0.42,0.35,1,75,444
2,0.76,0.35,1,75,445
4,0.76,0.35,1,75,446
8,0.76,0.35,1,75,447
16,0.76,0.35,1,75,448
2,0.06,0.4,1,75,449
4,0.06,0.4,1,75,450
8,0.06,0.4,1,75,451
16,0.06,0.4,1,75,452
2,0.24,0.4,1,75,453
4,0.24,0.4,1,75,454
8,0.24,0.4,1,75,455
16,0.24,0.4,1,75,456
2,0.42,0.4,1,75,457
4,0.42,0.4,1,75,458
8,0.42,0.4,1,75,459
16,0.42,0.4,1,75,460
2,0.76,0.4,1,75,461
4,0.76,0.4,1,75,462
8,0.76,0.4,1,75,463
16,0.76,0.4,1,75,464
2,0.06,0.75,1,75,465
4,0.06,0.75,1,75,466
8,0.06,0.75,1,75,467
16,0.06,0.75,1,75,468
2,0.24,0.75,1,75,469
4,0.24,0.75,1,75,470
8,0.24,0.75,1,75,471
16,0.24,0.75,1,75,472
2,0.42,0.75,1,75,473
4,0.42,0.75,1,75,474
8,0.42,0.75,1,75,475
16,0.42,0.75,1,75,476
2,0.76,0.75,1,75,477
4,0.76,0.75,1,75,478
8,0.76,0.75,1,75,479
16,0.76,0.75,1,75,480
2,0.06,0.15,1,100,481
4,0.06,0.15,1,100,482
8,0.06,0.15,1,100,483
16,0.06,0.15,1,100,484
2,0.24,0.15,1,100,485
4,0.24,0.15,1,100,486
8,0.24,0.15,1,100,487
16,0.24,0.15,1,100,488
2,0.42,0.15,1,100,489
4,0.42,0.15,1,100,490
8,0.42,0.15,1,100,491
16,0.42,0.15,1,100,492
2,0.76,0.15,1,100,493
4,0.76,0.15,1,100,494
8,0.76,0.15,1,100,495
16,0.76,0.15,1,100,496
2,0.06,0.3,1,100,497
4,0.06,0.3,1,100,498
